Reference,Qty,Value,Footprint
C1,1,10nF f,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm
C2,2,10_F c,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
C3,1,100nF c,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
"C4,C5,C7,C8,C12,C20,C21",7,0.1_F c,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
C6,1,1000pF f,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm
"C9,C13",2,1nF f,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm
"C10,C11",2,100nF f,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm
C14,1,10uF c,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
"C18,C19",2,47_F e,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
D1,1,LED,LED_THT:LED_D3.0mm_FlatTop
"D10,D11",2,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
J1,1,OUT 1x4s,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical
J2,1,SQR,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J3,1,OUT 1x4h,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
J4,1,SAW,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J5,1,TRI,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J6,1,SIN,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J7,1,CTRL 1x8h,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical
J8,1,CTRL 1x8s,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical
J9,1,IN 1x6s,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
J10,1,IN 1x6h,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
J11,1,SYNC,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J12,1,PWM,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J13,1,CV,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J14,1,1VOct,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J15,1,FM,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles
J17,1,OCT 1x6s,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
J18,1,CV 1x6s,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
J19,1,CV 1x6h,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
J20,1,LED 1x2s,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical
J21,1,LED 1x2h,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J22,1,OCT 1x6h,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
J85,1,Eurorack 2x8hs,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical
"Q1,Q2",2,2N3904,Package_TO_SOT_THT:TO-92_Inline_Wide
R1,1,24K,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal
R2,1,5K6,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical
R3,1,470K,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal
"R4,R7,R17,R40",4,10K,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical
"R5,R10,R34",3,470R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical
